04/20 08:35:11 PM: Printing arguments : Namespace(seed=42, batch_size=64, num_workers=4, lr=0.1, lr_divisor=5, num_epochs=40, encoder='bilstm-max', checkpoint=None)
04/20 08:35:11 PM: Setting seed...
04/20 08:35:11 PM: Building/Loading the SNLI dataset...
04/20 08:35:11 PM: Vocab already exists. Loading from disk...
04/20 08:35:20 PM: Total number of parameters: 56983859
04/20 08:35:20 PM: Training the model...
Adjusting learning rate of group 0 to 1.0000e-01.
  0%|          | 0/40 [00:00<?, ?it/s]04/20 08:35:20 PM: Epoch: 1/40
04/20 09:08:09 PM: Epoch: 9/40, Batch: 3501/8584, Train Loss: 0.1156
04/20 09:08:22 PM: Epoch: 9/40, Batch: 4001/8584, Train Loss: 0.1151
04/20 09:08:36 PM: Epoch: 9/40, Batch: 4501/8584, Train Loss: 0.1737
04/20 09:08:50 PM: Epoch: 9/40, Batch: 5001/8584, Train Loss: 0.0505
04/20 09:09:03 PM: Epoch: 9/40, Batch: 5501/8584, Train Loss: 0.1124
04/20 09:09:17 PM: Epoch: 9/40, Batch: 6001/8584, Train Loss: 0.0705
04/20 09:09:30 PM: Epoch: 9/40, Batch: 6501/8584, Train Loss: 0.0745
04/20 09:09:44 PM: Epoch: 9/40, Batch: 7001/8584, Train Loss: 0.0331
04/20 09:09:57 PM: Epoch: 9/40, Batch: 7501/8584, Train Loss: 0.0590
04/20 09:10:11 PM: Epoch: 9/40, Batch: 8001/8584, Train Loss: 0.1360
04/20 09:10:24 PM: Epoch: 9/40, Batch: 8501/8584, Train Loss: 0.0617
04/20 09:10:27 PM: Epoch: 9/40, Train Loss: 0.1074
04/20 09:10:27 PM: Batch: 1/154, Loss: 0.5157, Acc: 84.3750
04/20 09:10:27 PM: Batch: 11/154, Loss: 0.7752, Acc: 78.1250
04/20 09:10:27 PM: Batch: 21/154, Loss: 0.7485, Acc: 78.1250
04/20 09:10:27 PM: Batch: 31/154, Loss: 0.5292, Acc: 89.0625
04/20 09:10:27 PM: Batch: 41/154, Loss: 0.8194, Acc: 79.6875
04/20 09:10:27 PM: Batch: 51/154, Loss: 0.6041, Acc: 84.3750
04/20 09:10:27 PM: Batch: 61/154, Loss: 0.5421, Acc: 82.8125
04/20 09:10:28 PM: Batch: 71/154, Loss: 1.0520, Acc: 76.5625
04/20 09:10:28 PM: Batch: 81/154, Loss: 0.7251, Acc: 78.1250
04/20 09:10:28 PM: Batch: 91/154, Loss: 0.5294, Acc: 84.3750
04/20 09:10:28 PM: Batch: 101/154, Loss: 0.5742, Acc: 81.2500
04/20 09:10:28 PM: Batch: 111/154, Loss: 0.3154, Acc: 90.6250
04/20 09:10:28 PM: Batch: 121/154, Loss: 0.7490, Acc: 75.0000
04/20 09:10:28 PM: Batch: 131/154, Loss: 0.4957, Acc: 87.5000
04/20 09:10:28 PM: Batch: 141/154, Loss: 0.5510, Acc: 81.2500
04/20 09:10:28 PM: Batch: 151/154, Loss: 0.6170, Acc: 82.8125
04/20 09:10:28 PM: Epoch: 9/40, Val Loss: 0.6070, Val Acc: 83.2351
04/20 09:10:28 PM: Learning rate decreased to: 0.0007
 22%|██▎       | 9/40 [35:08<2:00:59, 234.17s/it]04/20 09:10:28 PM: Epoch: 10/40
Adjusting learning rate of group 0 to 3.6541e-03.
04/20 09:10:42 PM: Epoch: 10/40, Batch: 501/8584, Train Loss: 0.0394
04/20 09:10:56 PM: Epoch: 10/40, Batch: 1001/8584, Train Loss: 0.0950
04/20 09:11:09 PM: Epoch: 10/40, Batch: 1501/8584, Train Loss: 0.0860
04/20 09:11:22 PM: Epoch: 10/40, Batch: 2001/8584, Train Loss: 0.0573
04/20 09:11:36 PM: Epoch: 10/40, Batch: 2501/8584, Train Loss: 0.0611
04/20 09:11:49 PM: Epoch: 10/40, Batch: 3001/8584, Train Loss: 0.0763
04/20 09:12:03 PM: Epoch: 10/40, Batch: 3501/8584, Train Loss: 0.1013
04/20 09:12:16 PM: Epoch: 10/40, Batch: 4001/8584, Train Loss: 0.1043
04/20 09:12:30 PM: Epoch: 10/40, Batch: 4501/8584, Train Loss: 0.1430
04/20 09:12:44 PM: Epoch: 10/40, Batch: 5001/8584, Train Loss: 0.0432
04/20 09:12:57 PM: Epoch: 10/40, Batch: 5501/8584, Train Loss: 0.0993
04/20 09:13:11 PM: Epoch: 10/40, Batch: 6001/8584, Train Loss: 0.0639
04/20 09:13:24 PM: Epoch: 10/40, Batch: 6501/8584, Train Loss: 0.0638
04/20 09:13:38 PM: Epoch: 10/40, Batch: 7001/8584, Train Loss: 0.0303
04/20 09:13:51 PM: Epoch: 10/40, Batch: 7501/8584, Train Loss: 0.0518
04/20 09:14:05 PM: Epoch: 10/40, Batch: 8001/8584, Train Loss: 0.1252
04/20 09:14:18 PM: Epoch: 10/40, Batch: 8501/8584, Train Loss: 0.0534
04/20 09:14:21 PM: Epoch: 10/40, Train Loss: 0.0931
04/20 09:14:21 PM: Batch: 1/154, Loss: 0.5185, Acc: 85.9375
04/20 09:14:21 PM: Batch: 11/154, Loss: 0.7660, Acc: 78.1250
04/20 09:14:21 PM: Batch: 21/154, Loss: 0.7402, Acc: 79.6875
04/20 09:14:21 PM: Batch: 31/154, Loss: 0.5397, Acc: 89.0625
04/20 09:14:21 PM: Batch: 41/154, Loss: 0.8405, Acc: 81.2500
04/20 09:14:21 PM: Batch: 51/154, Loss: 0.6205, Acc: 81.2500
04/20 09:14:22 PM: Batch: 61/154, Loss: 0.5350, Acc: 82.8125
04/20 09:14:22 PM: Batch: 71/154, Loss: 1.0729, Acc: 76.5625
04/20 09:14:22 PM: Batch: 81/154, Loss: 0.7177, Acc: 79.6875
04/20 09:14:22 PM: Batch: 91/154, Loss: 0.5224, Acc: 84.3750
04/20 09:14:22 PM: Batch: 101/154, Loss: 0.5709, Acc: 81.2500
04/20 09:14:22 PM: Batch: 111/154, Loss: 0.3265, Acc: 90.6250
04/20 09:14:22 PM: Batch: 121/154, Loss: 0.7708, Acc: 75.0000
04/20 09:14:22 PM: Batch: 131/154, Loss: 0.4727, Acc: 87.5000
04/20 09:14:22 PM: Batch: 141/154, Loss: 0.5593, Acc: 82.8125
04/20 09:14:22 PM: Batch: 151/154, Loss: 0.6217, Acc: 81.2500
04/20 09:14:22 PM: Epoch: 10/40, Val Loss: 0.6103, Val Acc: 83.2656
04/20 09:14:22 PM: Learning rate decreased to: 0.0001
 25%|██▌       | 10/40 [39:02<1:57:04, 234.14s/it]04/20 09:14:22 PM: Epoch: 11/40
Adjusting learning rate of group 0 to 7.2351e-04.
04/20 09:14:36 PM: Epoch: 11/40, Batch: 501/8584, Train Loss: 0.0382
04/20 09:14:50 PM: Epoch: 11/40, Batch: 1001/8584, Train Loss: 0.0895
04/20 09:15:03 PM: Epoch: 11/40, Batch: 1501/8584, Train Loss: 0.0760
04/20 09:15:17 PM: Epoch: 11/40, Batch: 2001/8584, Train Loss: 0.0552
04/20 09:15:30 PM: Epoch: 11/40, Batch: 2501/8584, Train Loss: 0.0617
04/20 09:15:44 PM: Epoch: 11/40, Batch: 3001/8584, Train Loss: 0.0756
04/20 09:15:57 PM: Epoch: 11/40, Batch: 3501/8584, Train Loss: 0.0977
04/20 09:16:11 PM: Epoch: 11/40, Batch: 4001/8584, Train Loss: 0.1012
04/20 09:16:24 PM: Epoch: 11/40, Batch: 4501/8584, Train Loss: 0.1422
04/20 09:16:38 PM: Epoch: 11/40, Batch: 5001/8584, Train Loss: 0.0415
04/20 09:16:51 PM: Epoch: 11/40, Batch: 5501/8584, Train Loss: 0.0990
04/20 09:17:05 PM: Epoch: 11/40, Batch: 6001/8584, Train Loss: 0.0611
04/20 09:17:18 PM: Epoch: 11/40, Batch: 6501/8584, Train Loss: 0.0615
04/20 09:17:32 PM: Epoch: 11/40, Batch: 7001/8584, Train Loss: 0.0305
04/20 09:17:45 PM: Epoch: 11/40, Batch: 7501/8584, Train Loss: 0.0519
04/20 09:17:59 PM: Epoch: 11/40, Batch: 8001/8584, Train Loss: 0.1240
04/20 09:18:13 PM: Epoch: 11/40, Batch: 8501/8584, Train Loss: 0.0515
04/20 09:18:15 PM: Epoch: 11/40, Train Loss: 0.0899
04/20 09:18:15 PM: Batch: 1/154, Loss: 0.5156, Acc: 85.9375
04/20 09:18:15 PM: Batch: 11/154, Loss: 0.7682, Acc: 78.1250
04/20 09:18:15 PM: Batch: 21/154, Loss: 0.7348, Acc: 78.1250
04/20 09:18:15 PM: Batch: 31/154, Loss: 0.5399, Acc: 87.5000
04/20 09:18:16 PM: Batch: 41/154, Loss: 0.8408, Acc: 81.2500
04/20 09:18:16 PM: Batch: 51/154, Loss: 0.6206, Acc: 81.2500
04/20 09:18:16 PM: Batch: 61/154, Loss: 0.5327, Acc: 82.8125
04/20 09:18:16 PM: Batch: 71/154, Loss: 1.0701, Acc: 76.5625
04/20 09:18:16 PM: Batch: 81/154, Loss: 0.7117, Acc: 79.6875
04/20 09:18:16 PM: Batch: 91/154, Loss: 0.5239, Acc: 82.8125
04/20 09:18:16 PM: Batch: 101/154, Loss: 0.5734, Acc: 81.2500
04/20 09:18:16 PM: Batch: 111/154, Loss: 0.3269, Acc: 89.0625
04/20 09:18:16 PM: Batch: 121/154, Loss: 0.7723, Acc: 75.0000
04/20 09:18:16 PM: Batch: 131/154, Loss: 0.4704, Acc: 87.5000
04/20 09:18:17 PM: Batch: 141/154, Loss: 0.5557, Acc: 84.3750
04/20 09:18:17 PM: Batch: 151/154, Loss: 0.6263, Acc: 81.2500
04/20 09:18:17 PM: Epoch: 11/40, Val Loss: 0.6105, Val Acc: 83.1945
04/20 09:18:17 PM: Learning rate decreased to: 0.0000
 28%|██▊       | 11/40 [42:56<1:53:10, 234.16s/it]04/20 09:18:17 PM: Epoch: 12/40
Adjusting learning rate of group 0 to 1.4325e-04.
04/20 09:18:30 PM: Epoch: 12/40, Batch: 501/8584, Train Loss: 0.0377
04/20 09:18:44 PM: Epoch: 12/40, Batch: 1001/8584, Train Loss: 0.0900
04/20 09:18:57 PM: Epoch: 12/40, Batch: 1501/8584, Train Loss: 0.0732
04/20 09:19:11 PM: Epoch: 12/40, Batch: 2001/8584, Train Loss: 0.0537
04/20 09:19:24 PM: Epoch: 12/40, Batch: 2501/8584, Train Loss: 0.0612
04/20 09:19:38 PM: Epoch: 12/40, Batch: 3001/8584, Train Loss: 0.0752
04/20 09:19:51 PM: Epoch: 12/40, Batch: 3501/8584, Train Loss: 0.0967
04/20 09:20:05 PM: Epoch: 12/40, Batch: 4001/8584, Train Loss: 0.1003
04/20 09:20:18 PM: Epoch: 12/40, Batch: 4501/8584, Train Loss: 0.1442
04/20 09:20:32 PM: Epoch: 12/40, Batch: 5001/8584, Train Loss: 0.0409
04/20 09:20:45 PM: Epoch: 12/40, Batch: 5501/8584, Train Loss: 0.0988
04/20 09:20:59 PM: Epoch: 12/40, Batch: 6001/8584, Train Loss: 0.0602
04/20 09:21:12 PM: Epoch: 12/40, Batch: 6501/8584, Train Loss: 0.0610
04/20 09:21:26 PM: Epoch: 12/40, Batch: 7001/8584, Train Loss: 0.0306
04/20 09:21:39 PM: Epoch: 12/40, Batch: 7501/8584, Train Loss: 0.0522
04/20 09:21:53 PM: Epoch: 12/40, Batch: 8001/8584, Train Loss: 0.1238
04/20 09:22:07 PM: Epoch: 12/40, Batch: 8501/8584, Train Loss: 0.0516
04/20 09:22:09 PM: Epoch: 12/40, Train Loss: 0.0893
04/20 09:22:09 PM: Batch: 1/154, Loss: 0.5151, Acc: 85.9375
04/20 09:22:09 PM: Batch: 11/154, Loss: 0.7699, Acc: 78.1250
04/20 09:22:09 PM: Batch: 21/154, Loss: 0.7331, Acc: 78.1250
04/20 09:22:10 PM: Batch: 31/154, Loss: 0.5383, Acc: 87.5000
04/20 09:22:10 PM: Batch: 41/154, Loss: 0.8373, Acc: 79.6875
04/20 09:22:10 PM: Batch: 51/154, Loss: 0.6189, Acc: 79.6875
04/20 09:22:10 PM: Batch: 61/154, Loss: 0.5305, Acc: 82.8125
04/20 09:22:10 PM: Batch: 71/154, Loss: 1.0638, Acc: 75.0000
04/20 09:22:10 PM: Batch: 81/154, Loss: 0.7073, Acc: 79.6875
04/20 09:22:10 PM: Batch: 91/154, Loss: 0.5235, Acc: 82.8125
04/20 09:22:10 PM: Batch: 101/154, Loss: 0.5764, Acc: 81.2500
04/20 09:22:10 PM: Batch: 111/154, Loss: 0.3250, Acc: 89.0625
04/20 09:22:10 PM: Batch: 121/154, Loss: 0.7666, Acc: 75.0000
04/20 09:22:11 PM: Batch: 131/154, Loss: 0.4708, Acc: 87.5000
04/20 09:22:11 PM: Batch: 141/154, Loss: 0.5516, Acc: 84.3750
04/20 09:22:11 PM: Batch: 151/154, Loss: 0.6251, Acc: 81.2500
04/20 09:22:11 PM: Epoch: 12/40, Val Loss: 0.6101, Val Acc: 83.1538
04/20 09:22:11 PM: Learning rate decreased to: 0.0000
04/20 09:22:11 PM: Learning rate is smaller than 10^-5, stopping the training...
 28%|██▊       | 11/40 [46:50<2:03:29, 255.50s/it]
04/20 09:22:11 PM: Best val loss: 0.4435
04/20 09:22:11 PM: Best val acc: 83.6212
04/20 09:22:11 PM: Best validation loss: 0.4435, Best validation accuracy: 0.8362
04/20 09:22:11 PM: Loading the best model...
Adjusting learning rate of group 0 to 2.8364e-05.
04/20 09:22:11 PM: Batch: 1/154, Loss: 0.4896, Acc: 82.8125
04/20 09:22:11 PM: Batch: 11/154, Loss: 0.6003, Acc: 84.3750
04/20 09:22:11 PM: Batch: 21/154, Loss: 0.4064, Acc: 84.3750
04/20 09:22:11 PM: Batch: 31/154, Loss: 0.3278, Acc: 85.9375
04/20 09:22:12 PM: Batch: 41/154, Loss: 0.5778, Acc: 81.2500
04/20 09:22:12 PM: Batch: 51/154, Loss: 0.7260, Acc: 82.8125
04/20 09:22:12 PM: Batch: 61/154, Loss: 0.5421, Acc: 89.0625
04/20 09:22:12 PM: Batch: 71/154, Loss: 0.6076, Acc: 84.3750
04/20 09:22:12 PM: Batch: 81/154, Loss: 0.7621, Acc: 82.8125
04/20 09:22:12 PM: Batch: 91/154, Loss: 0.5948, Acc: 81.2500
04/20 09:22:12 PM: Batch: 101/154, Loss: 0.6499, Acc: 76.5625
04/20 09:22:12 PM: Batch: 111/154, Loss: 0.3873, Acc: 85.9375
04/20 09:22:12 PM: Batch: 121/154, Loss: 0.3848, Acc: 87.5000
04/20 09:22:12 PM: Batch: 131/154, Loss: 0.4664, Acc: 82.8125
04/20 09:22:13 PM: Batch: 141/154, Loss: 0.5477, Acc: 79.6875
04/20 09:22:13 PM: Batch: 151/154, Loss: 0.4580, Acc: 82.8125
04/20 09:22:13 PM: Test loss: 0.5356, Test accuracy: 84.0493
04/20 09:22:13 PM: Done!

JOB STATISTICS
==============
Job ID: 5990783
Cluster: snellius
User/Group: scur1398/scur1398
State: RUNNING
Nodes: 1
Cores per node: 18
CPU Utilized: 00:00:00
CPU Efficiency: 0.00% of 14:11:06 core-walltime
Job Wall-clock time: 00:47:17
Memory Utilized: 0.00 MB (estimated maximum)
Memory Efficiency: 0.00% of 120.00 GB (120.00 GB/node)
WARNING: Efficiency statistics may be misleading for RUNNING jobs.
